isabelleyeow,Wed Sep 9 15:59:40 2026 +1000,Update assignment2.html,
isabelleyeow,Wed Sep 9 14:47:57 2026 +1000,assignment 2 links,
isabelleyeow,Wed Sep 9 14:01:34 2026 +1000,Update .DS_Store,
isabelleyeow,Sat Aug 15 00:52:57 2026 +1000,icon,
isabelleyeow,Thu Aug 13 18:06:46 2026 +1000,icon changes,
isabelleyeow,Wed Aug 12 16:14:17 2026 +1000,proofreading,
isabelleyeow,Wed Aug 12 16:07:14 2026 +1000,references and proofreading,final touchups before submission

isabelleyeow,Wed Aug 12 15:28:17 2026 +1000,remove unnecessary words,instead of paragraphs of random words, i just put what the page actually is

isabelleyeow,Wed Aug 12 15:25:41 2026 +1000,reference,last reference added

isabelleyeow,Wed Aug 12 15:17:35 2026 +1000,references,more references to put in

isabelleyeow,Wed Aug 12 14:27:51 2026 +1000,finalising the assignment,filling in my last sections and fixing the css as well

isabelleyeow,Mon Aug 10 18:34:14 2026 +1000,next section and image,fixed up my next section and image format

isabelleyeow,Mon Aug 10 17:28:18 2026 +1000,added images and captions as well as formatting them,i added new information for the interaction section and added some images for visualisation. i added captions under it as well to explain some context behind it. it took some time to figure out how to put them side by side as well as putting captions below them

isabelleyeow,Sun Aug 9 18:28:12 2026 +1000,bullet points,fixed the format of the bullet points, made it look more in like theres a hierarchy

isabelleyeow,Sun Aug 9 18:21:29 2026 +1000,new information section,added more information under excluded and added the points but still needs more refining

isabelleyeow,Sun Aug 9 18:08:21 2026 +1000,bullet points,i added bullet points under my 'included' section to make it easier to read and more organised

isabelleyeow,Sun Aug 9 18:03:25 2026 +1000,Assignment 1 information,added information and research ive found, havent formatted it and only drafted with headings, subheadings and text

isabelleyeow,Wed Aug 5 16:02:41 2026 +1000,spacing and link fixing,the headings and paragraphs were too near to each other so i fixed that in css and changed my miro link as the previous one didnt work

isabelleyeow,Wed Aug 5 15:39:23 2026 +1000,fixed a1 spacing & community of practice link upload,fixed a1 spacing, i added back in default spacing and changed the first h3 margin as well as putting in my community of practice link

isabelleyeow,Wed Jul 29 14:03:04 2026 +1000,assignment 1 init,i copied the homepage into a new html document and linked them together. i started to sketch out sections for different parts of the design document, using different types of headings to enhance the clarity and informations.

isabelleyeow,Wed Jul 22 16:06:53 2026 +1000,work index w1,created a fork from template, updated details in the html and adding github profile

Patrick McMahon,Thu Jul 16 11:20:02 2026 +1000,fixed assignment links,removed id refs so we can add pages

Patrick McMahon,Thu Jul 16 10:45:35 2026 +1000,change favicon and remove unnecessary sections,
hase,Fri Jun 5 13:00:32 2026 +1000,moved to flex in flex,grid wasn't quite cutting it so i moved to a nested flex situation for the main section. now hopefully should all work as intended

hase,Fri Jun 5 12:03:25 2026 +1000,more responsiveq,fixed grid issues of overflow. added a max width to text

hase,Fri Jun 5 11:10:13 2026 +1000,responsiveness,added in grid template for the four areas to shift based on screen width

hase,Fri Jun 5 09:14:59 2026 +1000,init,set up and linked basic files
